"동별(1)",동별(2),동별(3),2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10,2025. 10
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",노원구,상계9동,8304,19123,8906,10217,19039,8880,10159,84,26,58
"합계",노원구,상계10동,7596,17836,8203,9633,17761,8170,9591,75,33,42
"합계",노원구,상계3.4동,12343,26810,13304,13506,26681,13262,13419,129,42,87
"합계",노원구,상계6.7동,13765,30600,14035,16565,30436,13971,16465,164,64,100
"합계",노원구,중계2.3동,14952,31693,14330,17363,31571,14287,17284,122,43,79
"합계",노원구,공릉1동,18801,36182,17356,18826,35332,17009,18323,850,347,503
"합계",은평구,소계,214821,461164,217603,243561,456727,215901,240826,4437,1702,2735
"합계",은평구,녹번동,17455,35615,16582,19033,35209,16406,18803,406,176,230
"합계",은평구,불광1동,17139,35693,16644,19049,35426,16528,18898,267,116,151
"합계",은평구,갈현1동,7193,14154,6787,7367,14009,6736,7273,145,51,94
"합계",은평구,갈현2동,12723,27100,12723,14377,26827,12618,14209,273,105,168
"합계",은평구,구산동,13459,30915,14951,15964,30706,14866,15840,209,85,124
"합계",은평구,대조동,15527,27433,12569,14864,27020,12437,14583,413,132,281
"합계",은평구,응암1동,15108,32405,14983,17422,32064,14852,17212,341,131,210
"합계",은평구,응암2동,10945,27135,13077,14058,26927,12986,13941,208,91,117
"합계",은평구,신사1동,11977,26046,12363,13683,25829,12291,13538,217,72,145
"합계",은평구,신사2동,8627,18544,9069,9475,18356,9011,9345,188,58,130
"합계",은평구,증산동,6662,15511,7443,8068,15367,7380,7987,144,63,81
"합계",은평구,수색동,8583,21346,10280,11066,21183,10214,10969,163,66,97
"합계",은평구,진관동,21488,54074,25056,29018,53868,24984,28884,206,72,134
"합계",은평구,불광2동,14102,26550,12714,13836,26292,12624,13668,258,90,168
"합계",은평구,응암3동,12543,23540,11282,12258,22990,11066,11924,550,216,334
"합계",은평구,역촌동,21290,45103,21080,24023,44654,20902,23752,449,178,271
"합계",서대문구,소계,146337,317565,147168,170397,300843,142192,158651,16722,4976,11746
